,Unnamed: 0,stock name,enter price,down 5% percents,down 10% percents,down 15% percents,down 20% percents,order succeed?
0,0,SNAP,55.14,yes,yes,yes,yes,yes
1,1,BKKT,23.78,yes,yes,yes,yes,yes
2,2,DWAC,59.07,no,no,no,no,
3,3,DAN,22.11,no,no,no,no,
4,4,DWAC,59.07,no,no,no,no,
5,5,TWTR,54.81,yes,yes,yes,yes,yes
6,6,FOUR,71.93,yes,yes,yes,yes,yes
7,7,AA,45.89,no,no,no,no,no
8,8,LSPD,71.8,yes,yes,yes,yes,yes
9,9,VEMO,,no,no,no,no,
10,10,ALL,124.74,no,no,no,no,
11,11,STNE,15.65,no,no,no,no,
12,12,DLO,29.28,no,no,no,no,
13,13,ROKU,179.09,no,no,no,no,
14,14,BILI,41,no,no,no,no,
15,15,HP,27.95,no,no,no,no,
16,16,FL,40.23,no,no,no,no,
17,17,FANG,,no,no,no,no,
18,18,SM,31.26,no,no,no,no,
19,19,PTLO,31.15,no,no,no,no,
20,20,BBY,100.24,no,no,no,no,
21,21,ZM,167.25,no,no,no,no,
22,22,ANF,31.5,no,no,no,no,
23,23,DOCN,66.97,no,no,no,no,
24,24,ASAN,58.31,no,no,no,no,
25,25,JWN,22.29,no,no,no,no,
26,26,PLAN,,no,no,no,no,
27,27,GPS,16.96,no,no,no,no,
28,28,AVAV,62.42,no,no,no,no,
29,29,HQY,47.8,no,no,no,no,
30,30,GTLB,69.51,no,no,no,no,
31,31,DOCS,45.65,no,no,no,no,
32,32,BGNE,230.51,no,no,no,no,
33,33,AQST,3.81,no,no,no,no,
34,34,VIR,33.14,no,no,no,no,
35,35,NVA,,no,no,no,no,
